parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,glossaryStatus,extension
,Sinh vật gây hại,Sinh vật gây hại,"sinh vật gây ra thiệt hại trực tiếp hoặc gián tiếp đối với thực vật bao gồm vi sinh vật gây bệnh, côn trùng gây hại, cỏ dại và các sinh vật có hại khác",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.7.2;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Bản chính hoặc bản sao chứng thực văn bản xác nhận là nhà sản xuất trong đó có thuốc bảo vệ thực vật đề nghị cấp giấy phép khảo nghiệm do cơ quan có thẩm quyền của nước sở tại cấp ,Bản chính hoặc bản sao chứng thực văn bản xác nhận là nhà sản xuất trong đó có thuốc bảo vệ thực vật đề nghị cấp giấy phép khảo nghiệm do cơ quan có thẩm quyền của nước sở tại cấp ,Đối với nhà sản xuất nước ngoài (Số văn bản và tên cơ quan có thẩm quyền của nước sở tại cấp),,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.2;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có;unit:Tờ"
,"Bản chính giấy ủy quyền của nhà sản xuất cho tổ chức, cá nhân đăng ký ","Bản chính giấy ủy quyền của nhà sản xuất cho tổ chức, cá nhân đăng ký ","Trong trường hợp nhận ủy quyền đứng tên đăng ký (thông tin về thời gian cấp, hiệu lực nếu có)",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.3;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có;unit:Tờ"
,"Bản sao chứng thực hoặc bản sao chụp (mang theo bản chính để đối chiếu) giấy phép thành lập công ty, chi nhánh công ty hoặc văn phòng đại diện tại Việt Nam ","Bản sao chứng thực hoặc bản sao chụp (mang theo bản chính để đối chiếu) giấy phép thành lập công ty, chi nhánh công ty hoặc văn phòng đại diện tại Việt Nam ",Đối với nhà sản xuất nước ngoài đăng ký lần đầu ,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.4;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Có;referenceData:Có;sensitivePersonalData:Không;unit:Tờ"
,Bản sao chụp giấy chứng nhận đủ điều kiện buôn bán thuốc bảo vệ thực vật ,Bản sao chụp giấy chứng nhận đủ điều kiện buôn bán thuốc bảo vệ thực vật ,"Đối với tổ chức, cá nhân trong nước được ủy quyền đứng tên đăng ký lần đầu (thông tin về thời gian cấp, hiệu lực)",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.5;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Có;referenceData:Có;sensitivePersonalData:Không;unit:Tờ"
,Giấy đăng ký sử dụng thuốc ở nước ngoài,Giấy đăng ký sử dụng thuốc ở nước ngoài,(Số đăng ký và tên cơ quan có thẩm quyền của nước sở tại cấp),,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.6;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có;unit:Tờ"
,Tài liệu kỹ thuật thuốc bảo vệ thực vật ,Tài liệu kỹ thuật thuốc bảo vệ thực vật ,Tài liệu kỹ thuật (theo quy định tại Phụ lục III ban hành kèm theo Thông tư số 21/2015/TT-BNNPTNT),,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.7;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có;unit:Tờ"
,Phiếu thẩm định hồ sơ ,Phiếu thẩm định hồ sơ ,"Thẩm định tính đầy đủ về thành phần hồ sơ, tài liệu kỹ thuật đáp ứng theo quy định ",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.8;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;sensitivePersonalData:Có;unit:Tờ"
,Giấy phép khảo nghiệm  thuốc bảo vệ thực vật,Giấy phép khảo nghiệm  thuốc bảo vệ thực vật,Doanh nghiệp sử dụng giấy phép để phối hợp với tổ chức đủ điều kiện thực hiện khảo nghiệm để thực hiện khảo nghiệm (Có giá trị trong thời hạn 05 năm),,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.9;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có;unit:Tờ"
,"Tên tổ chức, cá nhân Khảo nghiệm","Tên tổ chức, cá nhân Khảo nghiệm","Tên của tổ chức, cá nhân theo giấy phép kinh doanh, dùng để đăng ký giấy phép khảo nghiệm thuốc bảo vệ thực vật",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.9.1;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có"
,"Địa chỉ tổ chức, cá nhân khảo nghiệm","Địa chỉ tổ chức, cá nhân khảo nghiệm","Địa chỉ của tổ chức, cá nhân theo giấy phép kinh doanh, dùng để đăng ký giấy phép khảo nghiệm thuốc bảo vệ thực vật",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.9.2;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có"
,Loại thuốc,Loại thuốc,"Ghi theo công dụng của thuốc, gồm: thuốc trừ sâu, thuốc trừ bệnh và các loại khác trong Danh mục. Thuốc bảo vệ thực vật sinh học thì được ghi thêm từ “SINH HỌC” trong sau dòng chữ ghi loại thuốc (ví dụ: thuốc trừ sâu sinh học)",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.9.3;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Có"
